,County,State,Median Income,Income Per Capita,Pop in Labor Force,Pop not in Labor Force,Unemployed,Median Age,Median Age (male),Median Age (female)
816,Ohio County,Indiana,54653.0,25278.0,3096.0,1794.0,183.0,46.2,45.5,47.3
817,Orange County,Indiana,41438.0,21295.0,8952.0,6566.0,491.0,40.9,40.3,42.2
818,Owen County,Indiana,45388.0,22675.0,10097.0,6978.0,688.0,44.3,43.8,45.1
819,Parke County,Indiana,42664.0,22247.0,7291.0,6483.0,511.0,41.6,42.1,41.4
820,Perry County,Indiana,47396.0,21634.0,8633.0,7016.0,356.0,41.1,39.0,43.7
821,Pike County,Indiana,48076.0,24367.0,6164.0,3867.0,240.0,43.4,43.4,43.5
822,Porter County,Indiana,64874.0,30615.0,83782.0,49679.0,5268.0,39.4,38.3,40.6
823,Posey County,Indiana,59918.0,30396.0,12875.0,7622.0,590.0,42.7,42.1,43.5
824,Pulaski County,Indiana,44884.0,23958.0,6273.0,4040.0,442.0,41.6,40.1,43.8
825,Putnam County,Indiana,52465.0,23040.0,17037.0,14225.0,1101.0,37.8,36.7,40.1
826,Randolph County,Indiana,42418.0,22817.0,12140.0,8097.0,775.0,42.0,40.6,43.2
827,Ripley County,Indiana,52372.0,23980.0,14303.0,8385.0,939.0,40.8,39.6,41.8
828,Rush County,Indiana,46380.0,24267.0,8111.0,5269.0,459.0,41.2,40.3,41.9
829,St. Joseph County,Indiana,46174.0,24748.0,133922.0,76359.0,10098.0,36.4,35.3,37.5
830,Scott County,Indiana,46368.0,23103.0,11141.0,7834.0,750.0,40.9,40.4,41.1
831,Shelby County,Indiana,52651.0,25478.0,23163.0,12066.0,1785.0,41.5,40.5,42.3
832,Spencer County,Indiana,54870.0,25914.0,10575.0,6064.0,608.0,42.8,42.5,43.1
833,Starke County,Indiana,43401.0,21343.0,10516.0,7842.0,995.0,41.9,41.5,42.3
834,Steuben County,Indiana,50418.0,25497.0,17611.0,10395.0,1045.0,42.1,41.0,43.2
835,Sullivan County,Indiana,43786.0,20219.0,8855.0,8340.0,500.0,41.0,39.9,41.9
836,Switzerland County,Indiana,43456.0,20698.0,4743.0,3434.0,327.0,40.1,39.7,40.5
837,Tippecanoe County,Indiana,47406.0,24221.0,94726.0,54661.0,5842.0,27.9,26.6,29.6
838,Tipton County,Indiana,54023.0,27556.0,7638.0,4939.0,401.0,44.5,43.1,45.5
839,Union County,Indiana,45104.0,22918.0,3537.0,2278.0,191.0,43.1,38.9,44.9
840,Vanderburgh County,Indiana,43311.0,25666.0,92441.0,53361.0,5291.0,37.7,36.5,39.2
841,Vermillion County,Indiana,44409.0,22932.0,6922.0,5787.0,431.0,43.0,41.5,44.7
842,Vigo County,Indiana,41221.0,22079.0,51766.0,36412.0,4205.0,36.1,34.6,38.2
843,Wabash County,Indiana,47473.0,23745.0,15902.0,10295.0,937.0,42.1,40.8,43.8
844,Warren County,Indiana,58623.0,28690.0,4258.0,2462.0,213.0,44.5,44.1,44.8
845,Warrick County,Indiana,61542.0,31021.0,31429.0,16668.0,1419.0,40.6,39.2,42.2
846,Washington County,Indiana,44883.0,22096.0,13035.0,8910.0,1128.0,41.0,39.8,43.1
847,Wayne County,Indiana,39691.0,22227.0,30948.0,23288.0,2257.0,40.9,39.3,42.7
848,Wells County,Indiana,51568.0,24544.0,14115.0,7669.0,533.0,40.7,38.5,42.3
849,White County,Indiana,51547.0,25859.0,12026.0,7269.0,652.0,42.3,41.0,43.7
850,Whitley County,Indiana,54837.0,27062.0,17343.0,9107.0,816.0,41.3,40.1,42.8
